matched_name,count,total_amount,mean_amount,home_district_percentage,oos_percentage,perc_IND_value
Abdourahamane Diallo,463,49062.0,105.96544276457884,20.217391304347824,15.0,94.23760353516826
Abigail J Martin,597,38353.0,64.2428810720268,40.80944350758853,25.801011804384487,90.55556867282128
Abou Diakhate,145,8678.68,59.85296551724138,0.0,6.293706293706294,100.0
Adolfo Abreu,1526,70624.56,46.28083879423329,8.168642951251647,19.104084321475625,95.310595041416
Adriana P Aviles,248,13894.0,56.024193548387096,26.122448979591837,9.795918367346939,98.05914319994355
Adrienne Adams,713,75300.08,105.61021037868163,31.45275035260931,16.07898448519041,76.70369627894772
Ahmadou T Diallo,598,24907.0,41.6505016722408,37.52093802345058,1.507537688442211,99.0850141226081
Aidan Q Rivera,41,1621.0,39.53658536585366,0.0,26.82926829268293,54.853020300016574
Al-Hassan Kanu,571,34421.42,60.282697022767074,28.54609929078014,16.48936170212766,96.96985916849945
Alberto Aguilar III,3,80.0,26.666666666666668,0.0,0.0,100.0
Alec Brook Krasny,266,26620.0,100.07518796992481,48.1203007518797,1.5037593984962405,95.72096368212874
Aleda F Gagarin,716,34204.7,47.77192737430167,31.857142857142858,13.142857142857142,95.962928610586
Alejandra L Caraballo,126,9771.35,77.55039682539683,0.0,25.0,90.30296757212842
Aleksander Mici,118,14210.0,120.42372881355932,0.0,8.47457627118644,100.0
Aleta A LaFargue,625,32219.07,51.550512,58.34683954619124,14.424635332252835,96.3602181715734
Alexa Aviles,1699,78261.53,46.06329017068864,16.74698795180723,18.6144578313253,86.89659207910744
Alexander N Rias,380,24417.0,64.25526315789473,0.0,24.46808510638298,91.76908332393731
Alfonso Quiroz,676,43774.0,64.75443786982248,30.271084337349397,28.614457831325304,97.07043494092152
Alicka Ampry-Samuel,428,138999.0,324.7640186915888,18.95734597156398,20.379146919431278,79.57098678980451
Allison L Ryan,175,11168.0,63.817142857142855,0.0,7.55813953488372,91.21947235154782
Alpheaus Marcus,10,260.0,26.0,0.0,0.0,44.058088895667055
Althea V Stevens,606,37898.65,62.53902640264027,10.252100840336134,20.504201680672267,71.53157193303123
Amanda Farias,1101,60003.68,54.49925522252498,8.140610545790935,10.360777058279371,84.11739488704146
Amber Adler,391,23311.08,59.61913043478261,21.354166666666664,13.802083333333334,88.59795949083048
Amit S Bagga,678,65857.65,97.13517699115043,26.186830015313934,19.754977029096477,89.99571596360414
Amoy K Barnes,943,66660.0,70.68928950159066,34.85838779956427,21.0239651416122,77.58208326398743
Andy J Marte,245,18661.0,76.16734693877551,7.851239669421488,6.6115702479338845,94.16282332044929
Angela Fernandez,681,81007.99,118.95446402349486,40.390390390390394,18.91891891891892,99.9741943923711
Angelo King,9,575.0,63.888888888888886,11.11111111111111,11.11111111111111,93.4959349593496
Anthony Beckford,357,16669.0,46.69187675070028,23.295454545454543,4.545454545454546,100.0
Anthony Miranda,305,30130.0,98.78688524590164,33.442622950819676,6.557377049180328,100.0
Anthony Rivers,150,6877.0,45.846666666666664,65.33333333333333,6.0,85.8337493759361
