VotePersonName,faction,rf_predictions,knn_predictions,rf_pca_predictions
Adrienne E. Adams,County Aligned Moderates,County Aligned Moderates,County Aligned Moderates,County Aligned Moderates
Alexa Avilés,DSA,DSA,DSA,DSA
Althea V.  Stevens,,Affluent Liberals,Affluent Liberals,Hybrid Progressives
Amanda Farías,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Ari Kagan,Old and New Republicans,Old and New Republicans,Old and New Republicans,Old and New Republicans
Carlina Rivera ,Hybrid Progressives,Hybrid Progressives,Hybrid Progressives,Hybrid Progressives
Carmen N. De La Rosa,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Charles Barron,,DSA,Alphabet Left,Hybrid Progressives
Chi A. Ossé,,DSA,DSA,Alphabet Left
Christopher Marte,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Crystal Hudson,,Affluent Liberals,Affluent Liberals,Alphabet Left
Darlene Mealy,,Affluent Liberals,Affluent Liberals,Old and New Republicans
David M. Carr,Old and New Republicans,Old and New Republicans,Old and New Republicans,Old and New Republicans
Diana I. Ayala,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Eric Dinowitz,Affluent Liberals,Affluent Liberals,Affluent Liberals,Affluent Liberals
Erik D. Bottcher,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Farah N. Louis,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Francisco P. Moya,,Affluent Liberals,Affluent Liberals,Hybrid Progressives
Gale A. Brewer,Affluent Liberals,Affluent Liberals,Affluent Liberals,Affluent Liberals
Inna Vernikov,Old and New Republicans,Old and New Republicans,Old and New Republicans,Old and New Republicans
James F. Gennaro,,Affluent Liberals,Affluent Liberals,Hybrid Progressives
Jennifer Gutiérrez,Alphabet Left,Alphabet Left,Alphabet Left,Alphabet Left
Joann Ariola ,,Old and New Republicans,Old and New Republicans,Old and New Republicans
Joseph C. Borelli,Old and New Republicans,Old and New Republicans,Old and New Republicans,Old and New Republicans
Julie Menin,Affluent Liberals,Affluent Liberals,Affluent Liberals,Affluent Liberals
Julie Won,,Alphabet Left,Affluent Liberals,Alphabet Left
Justin L. Brannan,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Kalman Yeger ,,Old and New Republicans,Old and New Republicans,Old and New Republicans
Kamillah Hanks,,Affluent Liberals,Affluent Liberals,Hybrid Progressives
Keith Powers ,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Kevin C. Riley,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Kristin Richardson Jordan,,Hybrid Progressives,Affluent Liberals,Hybrid Progressives
Lincoln Restler,,Affluent Liberals,Affluent Liberals,Alphabet Left
Linda Lee,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Lynn C. Schulman,Affluent Liberals,Affluent Liberals,Affluent Liberals,Affluent Liberals
Marjorie Velázquez,Hybrid Progressives,Hybrid Progressives,Hybrid Progressives,Hybrid Progressives
Mercedes Narcisse,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Nantasha M. Williams,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Oswald Feliz,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Pierina Ana Sanchez,,Affluent Liberals,Affluent Liberals,Alphabet Left
"Rafael Salamanca, Jr.",,Affluent Liberals,Affluent Liberals,Affluent Liberals
Rita C. Joseph,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Robert F. Holden,Old and New Republicans,Old and New Republicans,Old and New Republicans,Old and New Republicans
Sandra Ung,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Sandy Nurse,Hybrid Progressives,Hybrid Progressives,Hybrid Progressives,Hybrid Progressives
Selvena N. Brooks-Powers,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Shahana K. Hanif,Alphabet Left,Alphabet Left,Alphabet Left,Alphabet Left
Shaun Abreu,,Affluent Liberals,Affluent Liberals,Affluent Liberals
Shekar Krishnan,,Affluent Liberals,Affluent Liberals,Alphabet Left
Tiffany Cabán,DSA,DSA,DSA,DSA
Vickie Paladino,,Old and New Republicans,Old and New Republicans,Old and New Republicans
