normalized_mem,dsa_wfp,stonewall,dc_37,twu,cops,sanitation,firemen,carpenters,psc,teachers,tile,acec,cwa,hotel,nysl,seiu,ironworkers,afl_cio
Alexa Aviles,480.3,0.0,0.0,1000.0,0.0,0.0,0.0,500.0,1000.0,0.0,250.0,0.0,750.0,0.0,0.0,2000.0,0.0,250.0
Amanda Farias,11.58,0.0,0.0,1000.0,0.0,0.0,0.0,500.0,0.0,1000.0,250.0,0.0,1000.0,0.0,1000.0,2000.0,500.0,250.0
Chi Osse,28.48,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,250.0
Lincoln Restler,61.16,0.0,0.0,0.0,0.0,0.0,0.0,104.48,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
Marjorie Velazquez,14.95,0.0,750.0,1000.0,0.0,0.0,0.0,500.0,1000.0,1000.0,0.0,1000.0,750.0,0.0,0.0,2000.0,0.0,0.0
Shahana Hanif,110.42,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2000.0,0.0,250.0
Tiffany Caban,222.61,250.0,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,750.0,0.0,1000.0,2000.0,0.0,250.0
Crystal Hudson,0.0,750.0,0.0,1000.0,0.0,0.0,0.0,881.94,0.0,1000.0,250.0,0.0,750.0,0.0,1000.0,2000.0,500.0,250.0
Lynn Schulman,0.0,500.0,0.0,1000.0,0.0,500.0,0.0,0.0,0.0,1000.0,250.0,0.0,750.0,1000.0,0.0,2000.0,500.0,250.0
Adrienne Adams,0.0,0.0,500.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,1000.0,2000.0,500.0,0.0
Ari Kagan,0.0,0.0,750.0,1000.0,0.0,0.0,0.0,1000.0,0.0,1000.0,250.0,0.0,0.0,0.0,0.0,1000.0,0.0,250.0
Carlina Rivera,0.0,0.0,750.0,1000.0,0.0,0.0,0.0,500.0,0.0,1000.0,250.0,0.0,0.0,2850.0,1000.0,3850.0,500.0,750.0
