normalized_mem,district
Erin Z Hussein,2
Carlina Rivera,2
Carmen De La Rosa,10
James E Behr,10
Angela Fernandez,10
Francesca M Castellanos,10
Johanna Garcia,10
Josue G Perez,10
Tirso S Pina,10
Thomas A Leon,10
Christopher Marte,1
Susan M Damplo,1
Susan Lee,1
Gigi Li,1
Jenny L Low,1
Sean C Hayes,1
Maud Maron,1
,1
Denny R Salas,1
Leslie Boghosian Murphy,3
Erik Bottcher,3
Phelan-Dante Fitzpatrick,3
Marni Halasa,3
Aleta A LaFargue,3
Arthur Z Schwartz,3
Rebecca Lamorte,5
Julie Menin,5
Kim Moscaritolo,5
Tricia Shimamura,5
Billy Freeland,5
Marco A Tamayo,5
Christopher A Sosa,5
Gale Brewer,6
David Gold,6
Maria A Danzilo,6
,6
Jeffrey Omura,6
Sara K Lind,6
Luis M Tejada,7
Carmen Quinones,7
Stacy R Lynch,7
Corey Ortega,7
Shaun Abreu,7
Maria Ordonez,7
Lena A Melendez,7
Marti G Allen-Cummings,7
Daniel M Cohen,7
Raymond Sanchez,7
Keith Harris,7
Miguel Estrella,7
Diana I Ayala,8
Tamika Mapp,8
,8
,8
Bill Perkins,9
Pierre Gooding,9
Athena Moore,9
Joshua Clennon,9
Kristin R Jordan,9
William A Allen,9
Keith L Taylor,9
,9
Cordell Cleare,9
Mario Rosser,9
Bernadette McNear,9
Ruth McDaniels,9
Billy K Council,9
Rafael Salamanca,17
Helen Hines,17
Shanequa E Moore,12
Pamela Hamilton-Johnson,12
Kevin C Riley,12
Abigail J Martin,11
Eric Dinowitz,11
Mino Lora,11
Jessica Haller,11
Carlton Berkley,11
Marcos A Sierra,11
Daniel Padernacht,11
Irene Estrada,13
Monique S Johnson,13
,13
Marjorie Velazquez,13
,13
Pierina A Sanchez,14
Adolfo Abreu,14
Yudelka Tapia,14
Haile M Rivera,14
Fernando A Aquino,14
Socrates S Solano,14
Oswald Feliz,15
Bernadette Ferrara,15
Ischia Bravo,15
John Sanchez,15
Lilithe L Lozano,15
Troy Blackwell,15
,15
,15
Ahmadou T Diallo,16
Abdourahamane Diallo,16
Althea V Stevens,16
Yves T Filius,16
William Rivera,18
Amanda Farias,18
Darlene Jackson,18
Michael Beltzer,18
,18
Mohammed N Mujumder,18
Eliu A Lara,18
Mirza M Rashid,18
John Ciafone,22
Tiffany Caban,22
Leonardo Bullaro,22
Evie Hantzopoulos,22
Catherina Gioino,22
,22
,15
,15
Darlene Mealy,41
Alicka Ampry-Samuel,41
Farah Louis,45
Anthony Beckford,45
Cyril F Joseph,45
Elizabeth Adams,33
Victoria E Cambranes,33
Lincoln Restler,33
Sabrina Gates,33
Stuart C Sherman,33
April Somboun,33
Toba Potosky,33
Benjamin Solotaire,33
Jennifer Gutierrez,34
Andy J Marte,34
Scott F Murphy,34
Lutchi Gayot,34
Renee Collymore,35
Deirdre M Levy,35
Crystal Hudson,35
Michael D Hollingsworth,35
Curtis M Harris,35
Regina Kinsey,35
Hector Robertson,35
Tahirah A Moore,36
Henry L Butler,36
Chi Osse,36
Robert Waterman,36
Reginald Swiney,36
Heriberto Mateo,37
Sandy Nurse,37
Darma V Diaz,37
Rick Echevarria,37
Misba Abdin,37
Christopher Durosinmi,37
Alexa Aviles,38
Yu Lin,38
Rodrigo Camarena,38
Jacqueline Painter,38
Ceasar Zuniga,38
Victor Swinton,38
Justin M Krebs,39
Brandon West,39
Jessica Simmons,39
Shahana Hanif,39
Mamnunul M Haq,39
Douglas Schneider,39
Briget Rein,39
Rita C Joseph,40
Kenya Handy-Hilliard,40
Cecilia C Cortez,40
Josue Pierre,40
Blake Morris,40
Edwin Raymond,40
Vivia Morgan,40
Harriet L Hines,40
John Williams,40
Victor Jordan,40
Maxi Eugene,40
Charles Barron,42
Wilfredo Florentino,42
Nikki Lucas,42
Gena M Watson,42
Mercedes Narcisse,46
,46
Shirley S Paul,46
Judy D Newton,46
Zuri S Jackson,46
Dimple Willabus,46
Donald J Cranston,46
Gardy Brazela,46
Alec Brook Krasny,47
Joseph Packer,47
Steven Patzer,47
Ari Kagan,47
Steven Saperstein,48
Mariya Markh,48
Binyomin Bendet,48
Amber Adler,48
,48
John-Alexander Sakelos,19
,19
Robert F Holden,30
Juan D Ardila,30
Japneet Singh,28
Adrienne Adams,28
Ruben Wills,28
Nancy J Martinez,31
Selvena Brooks-Powers,31
Nicole S Lee,31
Tony Avella,19
Richard J Lee,19
Austin Shafran,19
Adriana P Aviles,19
Francis E Spangenberg,19
Nabaraj KC,19
Sandra Ung,20
Ellen Young,20
Hailing Chen,20
Dao Yin,20
Anthony Miranda,20
Neng Wang,20
John Choe,20
Ming-Kang Low,20
Francisco P Moya,21
David Aiken,21
Talea E Wufka,21
Ingrid P Gomez,21
George Onuorah,21
Linda Lee,23
Jaslin Kaur,23
Steve Behar,23
Debra Markell,23
Harpreet S Toor,23
Sanjeev Jindal,23
Koshy O Thomas,23
James F Gennaro,24
Moumita Ahmed,24
Saifur R Khan,24
Mohammad S Uddin,24
Manuel F Perez,25
Carolyn T Tran,25
Alfonso Quiroz,25
Shekar Krishnan,25
,25
Fatima Baryab,25
Liliana C Melo,25
William H Salgado,25
Steven Raga,26
Denise M Keehan-Smith,26
Badrun N Khan,26
Julie Won,26
,26
Amit S Bagga,26
Brent M O'Leary,26
Glennis E Gomez,26
Jonathan Bailey,26
Julia Forman,26
Sultan Maruf,26
Jesse D Laymon,26
Emily Sharpe,26
Ebony R Young,26
Lorenzo Brea,26
Nantasha Williams,27
Jermaine Sean Smith,27
Al-Hassan Kanu,27
Harold C Miller,27
Kerryanne C Burke,27
Anthony Rivers,27
James J Johnson,27
Linda Guillebeaux,27
Rene Hill,27
Marie M Adam-Ovide,27
,27
Leroy Gadsden,27
Douglas J Shapiro,29
Avi Cyperstein,29
Lynn Schulman,29
Aleda F Gagarin,29
David Aronov,29
Donghui Zang,29
Sheryl A Fetik,29
Eliseo D Labayen,29
Edwin Wong,29
Felicia Singh,32
Kaled A Alamarie,32
,32
Helal A Sheikh,32
Shaeleigh M Severino,32
Bella A Matias,32
Vickie Paladino,19
James F Reilly,23
,23
Timothy Rosen,24
Angelo King,24
Joann Ariola,32
Steven Sirgiovanni,32
Michael P Schnall,49
David Hernandez,49
Selina Grey,49
Troy McGhie,49
Ranti Ogunleye,49
Kamillah M Hanks,49
Kelvin Richards,49
Amoy K Barnes,49
John F McBeth,49
Sam T Pirozzolo,50
Marko Kepi,50
David M Carr,50
Jordan Hafizi,50
Kathleen Sforza,50
Tiffany Johnson-Winbush,1
Zachary Tov Weiner,6
Manuel Onativia,8
Antoinette D. Glover,8
Sheba T. Simpson-Amsterdam,9
John Perez,13
Marilyn Soto,13
Kenny G. Agosto,15
Latchmi Devi Gopal,15
William Russell Moore,18
Nick Velkov,22
Ariel Rivera-Diaz,15
Aramis Ocasio,15
Tiffany Pryor,46
Heshy Tischler,48
Dawn A. Anatra,19
Yi Andy Chen,25
Hailie Kim,26
Jason Myles Clark,27
Michael G. Scala,32
Alex Amoroso,23
