normalized_mem,count,total_amount,mean_amount,home_district_percentage,oos_percentage,perc_IND_value,perc_total,perc_highest,finance_cluster
Adrienne Adams,713,75300.08,105.61021037868163,31.45275035260931,16.07898448519041,76.70369627894772,61.530863058496955,100.0,0
Alexa Aviles,1699,78261.53,46.06329017068864,16.74698795180723,18.6144578313253,86.89659207910744,34.628640646325614,100.0,4
Althea V Stevens,606,37898.65,62.53902640264027,10.252100840336134,20.504201680672267,71.53157193303123,34.44555242823555,100.0,0
Amanda Farias,1101,60003.68,54.49925522252498,8.140610545790935,10.360777058279371,84.11739488704146,30.875704112860102,100.0,4
Ari Kagan,592,70489.0,119.06925675675676,39.41480206540447,2.2375215146299485,85.94752115492477,50.50864609681618,100.0,0
Carlina Rivera,1217,110994.43,91.20331142152834,38.57740585774059,10.0418410041841,84.01067882294073,89.64596206029728,100.0,0
Carmen De La Rosa,821,73813.0,89.9062119366626,29.15129151291513,13.530135301353013,83.92156193952005,28.99180803983309,100.0,1
Charles Barron,319,26316.0,82.49529780564264,38.291139240506325,6.962025316455696,78.48657741139839,23.354198152771826,46.29169290446606,3
Chi Osse,1229,58808.0,47.85028478437754,11.046511627906977,20.764119601328904,83.91255560590892,31.921326189428147,100.0,4
Christopher Marte,1391,132290.49,95.10459381739754,53.457249070631974,5.799256505576208,99.90182788177268,17.45657002184383,60.63448566513934,3
Crystal Hudson,1483,122219.62,82.41376938637896,22.76755282890252,16.63258350374915,90.90234430898384,45.4897003310678,100.0,4
Darlene Mealy,458,31288.35,68.31517467248908,38.7308533916849,2.62582056892779,91.01178503331312,16.443945266872497,19.680136070801055,3
David M Carr,661,105843.52,160.12635400907718,39.84615384615385,7.846153846153846,97.28844144393895,42.44487689472263,100.0,1
Diana I Ayala,377,45326.0,120.22811671087533,34.048257372654156,9.383378016085791,76.0955332529724,79.16928118222668,100.0,0
Eric Dinowitz,215,36817.43,171.24386046511628,71.77033492822966,6.220095693779904,73.80841310256938,30.78439102517026,100.0,0
Erik Bottcher,1183,153159.0,129.46661031276415,52.06896551724138,15.948275862068966,94.88876084976674,46.214663215247995,100.0,1
Farah Louis,494,61942.5,125.38967611336032,23.721881390593047,8.384458077709612,97.63565433266344,77.0658082541225,100.0,1
Francisco P Moya,413,90794.0,219.8401937046005,32.17821782178218,15.346534653465346,71.32619317242244,64.5373925482039,100.0,0
Gale Brewer,833,107886.0,129.51500600240095,34.04255319148936,11.389236545682103,90.17854157611421,39.708390470265094,100.0,1
James F Gennaro,445,72394.0,162.68314606741572,52.06422018348624,12.844036697247708,74.14075621645979,55.21212115386345,100.0,0
